,epoch,train_loss,val_loss
0,1,1851.6349143981934,0.0
1,2,1545.4809436798096,0.0
2,3,1548.8844709396362,0.0
3,4,1492.832290649414,0.0
4,5,1493.3349962234497,0.0
5,6,1530.0023918151855,0.0
6,7,1497.7673830986023,0.0
7,8,1407.3347506523132,0.0
8,9,1386.9151043891907,0.0
9,10,1338.797935962677,1209.3251938819885
10,11,1187.911551475525,0.0
11,12,1155.7905740737915,0.0
12,13,1137.0503363609314,0.0
13,14,1077.00821352005,0.0
14,15,1076.222173690796,0.0
15,16,1025.9674396514893,0.0
16,17,1005.6200408935547,0.0
17,18,988.1954679489136,0.0
18,19,963.7389612197876,0.0
19,20,952.4702558517456,968.9870128631592
20,21,932.6182413101196,0.0
21,22,914.5932049751282,0.0
22,23,900.216833114624,0.0
23,24,885.6564221382141,0.0
24,25,872.459499835968,0.0
25,26,861.2379803657532,0.0
26,27,848.7442374229431,0.0
27,28,842.4782514572144,0.0
28,29,828.4144225120544,0.0
29,30,824.3433241844177,830.9232449531555
30,31,805.353595495224,0.0
31,32,798.6369976997375,0.0
32,33,795.7289342880249,0.0
33,34,784.3828427791595,0.0
34,35,773.9035649299622,0.0
35,36,763.9364743232727,0.0
36,37,757.8992457389832,0.0
37,38,750.4905934333801,0.0
38,39,748.3103127479553,0.0
39,40,736.3978452682495,768.9714975357056
40,41,723.3070707321167,0.0
41,42,724.556925535202,0.0
42,43,716.2132029533386,0.0
43,44,710.1779534816742,0.0
44,45,703.3157274723053,0.0
45,46,706.8366286754608,0.0
46,47,694.4555335044861,0.0
47,48,689.3577015399933,0.0
48,49,685.5726280212402,0.0
49,50,685.2578449249268,738.5321581363678
50,51,672.3200099468231,0.0
